"Index" "PNB" "SBI" "HDFC"
"2018-09-01" 474 502 414
"2018-09-02" 543 475 497
"2018-09-03" 514 475 426
"2018-09-04" 465 492 538
"2018-09-05" 501 520 471
"2018-09-06" 524 492 456
"2018-09-07" 569 508 477
"2018-09-08" 465 539 524
"2018-09-09" 485 489 424
"2018-09-10" 540 496 511
"2018-09-11" 482 521 462
"2018-09-12" 559 450 500
"2018-09-13" 542 522 528
"2018-09-14" 434 479 523
"2018-09-15" 517 455 561
"2018-09-16" 444 430 506
"2018-09-17" 442 472 472
"2018-09-18" 503 454 587
"2018-09-19" 503 453 488
"2018-09-20" 499 566 533
"2018-09-21" 551 452 538
"2018-09-22" 512 540 519
"2018-09-23" 474 522 558
"2018-09-24" 505 465 492
"2018-09-25" 480 476 451
"2018-09-26" 498 484 486
"2018-09-27" 455 508 479
"2018-09-28" 496 487 514
"2018-09-29" 505 534 463
"2018-09-30" 472 489 528
